,id,value,date,type,event_id,event_type,frequency,datetime
0,94974,27.39,2021-02-10T22:18:40.261Z,temperature,13,cough,18.17,2021-02-10 22:18:40.261
1,95085,1005.11,2021-02-10T22:18:40.276Z,pressure,13,cough,25.48,2021-02-10 22:18:40.276
2,95084,1004.92,2021-02-10T22:18:40.315Z,pressure,13,cough,25.48,2021-02-10 22:18:40.315
3,94973,27.35,2021-02-10T22:18:40.316Z,temperature,13,cough,18.17,2021-02-10 22:18:40.316
4,95083,1004.85,2021-02-10T22:18:40.354Z,pressure,13,cough,25.48,2021-02-10 22:18:40.354
5,94972,27.32,2021-02-10T22:18:40.371Z,temperature,13,cough,18.17,2021-02-10 22:18:40.371
6,95082,1004.71,2021-02-10T22:18:40.394Z,pressure,13,cough,25.48,2021-02-10 22:18:40.394
7,94971,27.39,2021-02-10T22:18:40.426Z,temperature,13,cough,18.17,2021-02-10 22:18:40.426
8,95081,1004.55,2021-02-10T22:18:40.433Z,pressure,13,cough,25.48,2021-02-10 22:18:40.433
9,95080,1004.46,2021-02-10T22:18:40.472Z,pressure,13,cough,25.48,2021-02-10 22:18:40.472
10,94970,27.31,2021-02-10T22:18:40.482Z,temperature,13,cough,18.17,2021-02-10 22:18:40.482
11,95079,1004.32,2021-02-10T22:18:40.511Z,pressure,13,cough,25.48,2021-02-10 22:18:40.511
12,94969,27.31,2021-02-10T22:18:40.537Z,temperature,13,cough,18.17,2021-02-10 22:18:40.537
13,95078,1004.32,2021-02-10T22:18:40.551Z,pressure,13,cough,25.48,2021-02-10 22:18:40.551
14,95077,1004.32,2021-02-10T22:18:40.590Z,pressure,13,cough,25.48,2021-02-10 22:18:40.590
15,94968,27.28,2021-02-10T22:18:40.592Z,temperature,13,cough,18.17,2021-02-10 22:18:40.592
16,95076,1004.26,2021-02-10T22:18:40.629Z,pressure,13,cough,25.48,2021-02-10 22:18:40.629
17,94967,27.29,2021-02-10T22:18:40.647Z,temperature,13,cough,18.17,2021-02-10 22:18:40.647
18,95075,1004.21,2021-02-10T22:18:40.668Z,pressure,13,cough,25.48,2021-02-10 22:18:40.668
19,94966,27.28,2021-02-10T22:18:40.702Z,temperature,13,cough,18.17,2021-02-10 22:18:40.702
20,95074,1004.18,2021-02-10T22:18:40.708Z,pressure,13,cough,25.48,2021-02-10 22:18:40.708
21,95073,1004.19,2021-02-10T22:18:40.747Z,pressure,13,cough,25.48,2021-02-10 22:18:40.747
22,94965,27.36,2021-02-10T22:18:40.757Z,temperature,13,cough,18.17,2021-02-10 22:18:40.757
23,95072,1004.18,2021-02-10T22:18:40.786Z,pressure,13,cough,25.48,2021-02-10 22:18:40.786
24,94964,27.29,2021-02-10T22:18:40.812Z,temperature,13,cough,18.17,2021-02-10 22:18:40.812
25,95071,1004.2,2021-02-10T22:18:40.825Z,pressure,13,cough,25.48,2021-02-10 22:18:40.825
26,95070,1004.33,2021-02-10T22:18:40.865Z,pressure,13,cough,25.48,2021-02-10 22:18:40.865
27,94963,27.28,2021-02-10T22:18:40.867Z,temperature,13,cough,18.17,2021-02-10 22:18:40.867
28,95069,1004.43,2021-02-10T22:18:40.904Z,pressure,13,cough,25.48,2021-02-10 22:18:40.904
29,94962,27.28,2021-02-10T22:18:40.922Z,temperature,13,cough,18.17,2021-02-10 22:18:40.922
30,95068,1004.61,2021-02-10T22:18:40.943Z,pressure,13,cough,25.48,2021-02-10 22:18:40.943
31,94961,27.31,2021-02-10T22:18:40.977Z,temperature,13,cough,18.17,2021-02-10 22:18:40.977
32,95067,1004.73,2021-02-10T22:18:40.982Z,pressure,13,cough,25.48,2021-02-10 22:18:40.982
33,95066,1004.73,2021-02-10T22:18:41.022Z,pressure,13,cough,25.48,2021-02-10 22:18:41.022
34,94960,27.28,2021-02-10T22:18:41.032Z,temperature,13,cough,18.17,2021-02-10 22:18:41.032
35,95065,1004.87,2021-02-10T22:18:41.061Z,pressure,13,cough,25.48,2021-02-10 22:18:41.061
36,94959,27.31,2021-02-10T22:18:41.087Z,temperature,13,cough,18.17,2021-02-10 22:18:41.087
37,95064,1005.22,2021-02-10T22:18:41.100Z,pressure,13,cough,25.48,2021-02-10 22:18:41.100
38,95063,1005.76,2021-02-10T22:18:41.139Z,pressure,13,cough,25.48,2021-02-10 22:18:41.139
39,94958,27.26,2021-02-10T22:18:41.142Z,temperature,13,cough,18.17,2021-02-10 22:18:41.142
40,95062,1005.81,2021-02-10T22:18:41.179Z,pressure,13,cough,25.48,2021-02-10 22:18:41.179
41,94957,27.28,2021-02-10T22:18:41.197Z,temperature,13,cough,18.17,2021-02-10 22:18:41.197
42,95061,1005.81,2021-02-10T22:18:41.218Z,pressure,13,cough,25.48,2021-02-10 22:18:41.218
43,94956,27.27,2021-02-10T22:18:41.252Z,temperature,13,cough,18.17,2021-02-10 22:18:41.252
44,95060,1005.78,2021-02-10T22:18:41.257Z,pressure,13,cough,25.48,2021-02-10 22:18:41.257
45,95059,1005.77,2021-02-10T22:18:41.296Z,pressure,13,cough,25.48,2021-02-10 22:18:41.296
46,94955,27.26,2021-02-10T22:18:41.307Z,temperature,13,cough,18.17,2021-02-10 22:18:41.307
47,95058,1005.8,2021-02-10T22:18:41.336Z,pressure,13,cough,25.48,2021-02-10 22:18:41.336
48,94954,27.26,2021-02-10T22:18:41.362Z,temperature,13,cough,18.17,2021-02-10 22:18:41.362
49,95057,1005.78,2021-02-10T22:18:41.375Z,pressure,13,cough,25.48,2021-02-10 22:18:41.375
50,95056,1005.77,2021-02-10T22:18:41.414Z,pressure,13,cough,25.48,2021-02-10 22:18:41.414
51,94953,27.25,2021-02-10T22:18:41.417Z,temperature,13,cough,18.17,2021-02-10 22:18:41.417
52,95055,1006.21,2021-02-10T22:18:41.453Z,pressure,13,cough,25.48,2021-02-10 22:18:41.453
53,94952,27.26,2021-02-10T22:18:41.472Z,temperature,13,cough,18.17,2021-02-10 22:18:41.472
54,95054,1011.91,2021-02-10T22:18:41.493Z,pressure,13,cough,25.48,2021-02-10 22:18:41.493
55,94951,27.28,2021-02-10T22:18:41.527Z,temperature,13,cough,18.17,2021-02-10 22:18:41.527
56,95053,1011.48,2021-02-10T22:18:41.532Z,pressure,13,cough,25.48,2021-02-10 22:18:41.532
57,95052,1012.05,2021-02-10T22:18:41.571Z,pressure,13,cough,25.48,2021-02-10 22:18:41.571
58,94950,27.27,2021-02-10T22:18:41.582Z,temperature,13,cough,18.17,2021-02-10 22:18:41.582
59,95051,1011.68,2021-02-10T22:18:41.610Z,pressure,13,cough,25.48,2021-02-10 22:18:41.610
60,94949,27.28,2021-02-10T22:18:41.637Z,temperature,13,cough,18.17,2021-02-10 22:18:41.637
61,95050,1011.72,2021-02-10T22:18:41.650Z,pressure,13,cough,25.48,2021-02-10 22:18:41.650
62,95049,1010.7,2021-02-10T22:18:41.689Z,pressure,13,cough,25.48,2021-02-10 22:18:41.689
63,94948,27.28,2021-02-10T22:18:41.692Z,temperature,13,cough,18.17,2021-02-10 22:18:41.692
64,95048,1007.69,2021-02-10T22:18:41.728Z,pressure,13,cough,25.48,2021-02-10 22:18:41.728
65,94947,27.29,2021-02-10T22:18:41.747Z,temperature,13,cough,18.17,2021-02-10 22:18:41.747
66,95047,1006.47,2021-02-10T22:18:41.767Z,pressure,13,cough,25.48,2021-02-10 22:18:41.767
67,94946,27.27,2021-02-10T22:18:41.802Z,temperature,13,cough,18.17,2021-02-10 22:18:41.802
68,95046,1006.17,2021-02-10T22:18:41.807Z,pressure,13,cough,25.48,2021-02-10 22:18:41.807
69,95045,1005.96,2021-02-10T22:18:41.846Z,pressure,13,cough,25.48,2021-02-10 22:18:41.846
70,94945,27.28,2021-02-10T22:18:41.857Z,temperature,13,cough,18.17,2021-02-10 22:18:41.857
71,95044,1006.01,2021-02-10T22:18:41.885Z,pressure,13,cough,25.48,2021-02-10 22:18:41.885
72,94944,27.28,2021-02-10T22:18:41.912Z,temperature,13,cough,18.17,2021-02-10 22:18:41.912
73,95043,1008.71,2021-02-10T22:18:41.924Z,pressure,13,cough,25.48,2021-02-10 22:18:41.924
74,95042,1008.09,2021-02-10T22:18:41.963Z,pressure,13,cough,25.48,2021-02-10 22:18:41.963
75,94943,27.28,2021-02-10T22:18:41.967Z,temperature,13,cough,18.17,2021-02-10 22:18:41.967
76,95041,1008.38,2021-02-10T22:18:42.003Z,pressure,13,cough,25.48,2021-02-10 22:18:42.003
77,94942,27.29,2021-02-10T22:18:42.023Z,temperature,13,cough,18.17,2021-02-10 22:18:42.023
78,95040,1008.31,2021-02-10T22:18:42.042Z,pressure,13,cough,25.48,2021-02-10 22:18:42.042
79,94941,27.29,2021-02-10T22:18:42.078Z,temperature,13,cough,18.17,2021-02-10 22:18:42.078
80,95039,1007.75,2021-02-10T22:18:42.081Z,pressure,13,cough,25.48,2021-02-10 22:18:42.081
81,95038,1006.65,2021-02-10T22:18:42.120Z,pressure,13,cough,25.48,2021-02-10 22:18:42.120
