,id,value,date,type,event_id,event_type,frequency,datetime
0,48344,1006.93,2021-02-10T18:12:13.370Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.370
1,48480,26.22,2021-02-10T18:12:13.381Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.381
2,48343,1006.94,2021-02-10T18:12:13.410Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.410
3,48479,26.21,2021-02-10T18:12:13.436Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.436
4,48342,1006.94,2021-02-10T18:12:13.449Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.449
5,48341,1006.91,2021-02-10T18:12:13.488Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.488
6,48478,26.18,2021-02-10T18:12:13.491Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.491
7,48340,1006.94,2021-02-10T18:12:13.528Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.528
8,48477,26.21,2021-02-10T18:12:13.547Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.547
9,48339,1006.91,2021-02-10T18:12:13.567Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.567
10,48476,26.23,2021-02-10T18:12:13.602Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.602
11,48338,1006.94,2021-02-10T18:12:13.606Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.606
12,48337,1006.91,2021-02-10T18:12:13.646Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.646
13,48475,26.21,2021-02-10T18:12:13.657Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.657
14,48336,1006.92,2021-02-10T18:12:13.685Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.685
15,48474,26.23,2021-02-10T18:12:13.712Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.712
16,48335,1006.89,2021-02-10T18:12:13.724Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.724
17,48334,1006.97,2021-02-10T18:12:13.764Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.764
18,48473,26.19,2021-02-10T18:12:13.767Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.767
19,48333,1006.97,2021-02-10T18:12:13.803Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.803
20,48472,26.2,2021-02-10T18:12:13.822Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.822
21,48332,1007.01,2021-02-10T18:12:13.842Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.842
22,48471,26.18,2021-02-10T18:12:13.877Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.877
23,48331,1007.07,2021-02-10T18:12:13.881Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.881
24,48330,1006.95,2021-02-10T18:12:13.921Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.921
25,48470,26.19,2021-02-10T18:12:13.932Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.932
26,48329,1006.81,2021-02-10T18:12:13.960Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.960
27,48469,26.21,2021-02-10T18:12:13.987Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:13.987
28,48328,1006.81,2021-02-10T18:12:13.999Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:13.999
29,48327,1006.8,2021-02-10T18:12:14.039Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.039
30,48468,26.22,2021-02-10T18:12:14.042Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.042
31,48326,1006.81,2021-02-10T18:12:14.078Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.078
32,48467,26.23,2021-02-10T18:12:14.097Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.097
33,48325,1006.78,2021-02-10T18:12:14.117Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.117
34,48616,1006.77,2021-02-10T18:12:14.147Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.147
35,48466,26.19,2021-02-10T18:12:14.152Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.152
36,48615,1006.74,2021-02-10T18:12:14.186Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.186
37,48465,26.18,2021-02-10T18:12:14.207Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.207
38,48614,1006.76,2021-02-10T18:12:14.226Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.226
39,48464,26.18,2021-02-10T18:12:14.262Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.262
40,48613,1006.76,2021-02-10T18:12:14.265Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.265
41,48612,1006.77,2021-02-10T18:12:14.304Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.304
42,48463,26.2,2021-02-10T18:12:14.317Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.317
43,48611,1006.78,2021-02-10T18:12:14.344Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.344
44,48462,26.22,2021-02-10T18:12:14.372Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.372
45,48610,1006.77,2021-02-10T18:12:14.383Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.383
46,48609,1006.79,2021-02-10T18:12:14.422Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.422
47,48461,26.19,2021-02-10T18:12:14.428Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.428
48,48608,1006.79,2021-02-10T18:12:14.461Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.461
49,48460,26.21,2021-02-10T18:12:14.483Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.483
50,48607,1006.68,2021-02-10T18:12:14.501Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.501
51,48459,26.18,2021-02-10T18:12:14.538Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.538
52,48606,1006.6,2021-02-10T18:12:14.540Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.540
53,48605,1006.63,2021-02-10T18:12:14.579Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.579
54,48458,26.21,2021-02-10T18:12:14.593Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.593
55,48604,1006.7,2021-02-10T18:12:14.619Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.619
56,48457,26.2,2021-02-10T18:12:14.648Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.648
57,48603,1006.76,2021-02-10T18:12:14.658Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.658
58,48602,1006.75,2021-02-10T18:12:14.697Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.697
59,48456,26.21,2021-02-10T18:12:14.703Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.703
60,48601,1006.73,2021-02-10T18:12:14.737Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.737
61,48455,26.23,2021-02-10T18:12:14.758Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.758
62,48600,1006.74,2021-02-10T18:12:14.776Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.776
63,48454,26.21,2021-02-10T18:12:14.813Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.813
64,48599,1006.72,2021-02-10T18:12:14.815Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.815
65,48598,1006.75,2021-02-10T18:12:14.855Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.855
66,48453,26.22,2021-02-10T18:12:14.868Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.868
67,48597,1006.74,2021-02-10T18:12:14.894Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.894
68,48452,26.24,2021-02-10T18:12:14.923Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.923
69,48596,1006.68,2021-02-10T18:12:14.933Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.933
70,48595,1006.65,2021-02-10T18:12:14.972Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:14.972
71,48451,26.27,2021-02-10T18:12:14.978Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:14.978
72,48594,1006.61,2021-02-10T18:12:15.012Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.012
73,48450,26.26,2021-02-10T18:12:15.033Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.033
74,48593,1006.51,2021-02-10T18:12:15.051Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.051
75,48449,26.23,2021-02-10T18:12:15.088Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.088
76,48592,1006.51,2021-02-10T18:12:15.090Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.090
77,48591,1006.51,2021-02-10T18:12:15.130Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.130
78,48448,26.31,2021-02-10T18:12:15.143Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.143
79,48590,1006.5,2021-02-10T18:12:15.169Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.169
80,48447,26.35,2021-02-10T18:12:15.198Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.198
81,48589,1006.5,2021-02-10T18:12:15.208Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.208
82,48588,1006.53,2021-02-10T18:12:15.248Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.248
83,48446,26.31,2021-02-10T18:12:15.254Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.254
84,48587,1006.49,2021-02-10T18:12:15.287Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.287
85,48445,26.36,2021-02-10T18:12:15.309Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.309
86,48586,1006.49,2021-02-10T18:12:15.326Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.326
87,48444,26.37,2021-02-10T18:12:15.364Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.364
88,48585,1006.55,2021-02-10T18:12:15.366Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.366
89,48584,1006.56,2021-02-10T18:12:15.405Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.405
90,48443,26.38,2021-02-10T18:12:15.419Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.419
91,48583,1006.57,2021-02-10T18:12:15.444Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.444
92,48442,26.39,2021-02-10T18:12:15.474Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.474
93,48582,1006.58,2021-02-10T18:12:15.483Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.483
94,48581,1006.6,2021-02-10T18:12:15.523Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.523
95,48441,26.34,2021-02-10T18:12:15.529Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.529
96,48580,1006.58,2021-02-10T18:12:15.562Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.562
97,48440,26.4,2021-02-10T18:12:15.584Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.584
98,48579,1006.56,2021-02-10T18:12:15.601Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.601
99,48439,26.43,2021-02-10T18:12:15.639Z,temperature,7,normal_breathing,18.16,2021-02-10 18:12:15.639
100,48578,1006.64,2021-02-10T18:12:15.641Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.641
101,48577,1006.56,2021-02-10T18:12:15.680Z,pressure,7,normal_breathing,25.44,2021-02-10 18:12:15.680
