Time,Arb
'0:0:14.25,851
'0:0:14.3,840
'0:0:14.35,829
'0:0:14.4,819
'0:0:14.45,809
'0:0:14.5,798
'0:0:14.55,790
'0:0:14.6,779
'0:0:14.65,768
'0:0:14.7,761
'0:0:14.75,757
'0:0:14.8,756
'0:0:14.85,757
'0:0:14.9,752
'0:0:14.95,743
'0:0:15.0,735
'0:0:15.05,729
'0:0:15.1,721
'0:0:15.15,713
'0:0:15.2,705
'0:0:15.25,699
'0:0:15.3,693
'0:0:15.35,689
'0:0:15.4,682
'0:0:15.45,676
'0:0:15.5,671
'0:0:15.55,666
'0:0:15.6,658
'0:0:15.65,653
'0:0:15.7,644
'0:0:15.75,631
'0:0:15.8,621
'0:0:15.85,619
'0:0:15.9,623
'0:0:15.95,634
'0:0:16.0,651
'0:0:16.05,668
'0:0:16.1,686
'0:0:16.15,701
'0:0:16.2,719
'0:0:16.25,736
'0:0:16.3,755
'0:0:16.35,772
'0:0:16.4,792
'0:0:16.45,809
'0:0:16.5,828
'0:0:16.55,847
'0:0:16.6,866
'0:0:16.65,880
'0:0:16.7,892
'0:0:16.75,898
'0:0:16.8,897
'0:0:16.85,897
'0:0:16.9,903
'0:0:16.95,913
'0:0:17.0,928
'0:0:17.05,939
'0:0:17.1,949
'0:0:17.15,959
'0:0:17.2,968
'0:0:17.25,975
'0:0:17.3,983
'0:0:17.35,992
'0:0:17.4,1005
'0:0:17.45,1016
'0:0:17.5,1025
'0:0:17.55,1033
'0:0:17.6,1043
'0:0:17.65,1051
'0:0:17.7,1058
'0:0:17.75,1061
'0:0:17.8,1056
'0:0:17.85,1040
'0:0:17.9,1022
'0:0:17.95,1011
'0:0:18.0,1001
'0:0:18.05,993
'0:0:18.1,982
'0:0:18.15,967
'0:0:18.2,949
'0:0:18.25,932
'0:0:18.3,914
'0:0:18.35,899
'0:0:18.4,883
'0:0:18.45,868
'0:0:18.5,854
'0:0:18.55,843
'0:0:18.6,831
'0:0:18.65,821
'0:0:18.7,812
'0:0:18.75,803
'0:0:18.8,794
'0:0:18.85,786
'0:0:18.9,768
'0:0:18.95,748
'0:0:19.0,734
'0:0:19.05,725
'0:0:19.1,721
'0:0:19.15,721
'0:0:19.2,718
'0:0:19.25,714
'0:0:19.3,711
'0:0:19.35,708
'0:0:19.4,705
'0:0:19.45,702
'0:0:19.5,701
'0:0:19.55,699
'0:0:19.6,697
'0:0:19.65,695
'0:0:19.7,692
'0:0:19.75,690
'0:0:19.8,688
'0:0:19.85,684
'0:0:19.9,680
'0:0:19.95,673
'0:0:20.0,660
'0:0:20.05,650
'0:0:20.1,645
'0:0:20.15,647
'0:0:20.2,653
'0:0:20.25,659
'0:0:20.3,666
'0:0:20.35,673
'0:0:20.4,677
'0:0:20.45,680
'0:0:20.5,684
'0:0:20.55,690
'0:0:20.6,703
'0:0:20.65,719
'0:0:20.7,738
'0:0:20.75,756
'0:0:20.8,775
'0:0:20.85,793
'0:0:20.9,811
'0:0:20.95,827
'0:0:21.0,842
'0:0:21.05,847
'0:0:21.1,849
'0:0:21.15,858
'0:0:21.2,873
'0:0:21.25,889
'0:0:21.3,905
'0:0:21.35,917
'0:0:21.4,929
'0:0:21.45,940
'0:0:21.5,951
'0:0:21.55,962
'0:0:21.6,975
'0:0:21.65,989
'0:0:21.7,1002
'0:0:21.75,1012
'0:0:21.8,1022
'0:0:21.85,1031
'0:0:21.9,1041
'0:0:21.95,1050
'0:0:22.0,1057
'0:0:22.05,1057
'0:0:22.1,1050
'0:0:22.15,1043
'0:0:22.2,1043
'0:0:22.25,1049
'0:0:22.3,1058
'0:0:22.35,1063
'0:0:22.4,1061
'0:0:22.45,1055
'0:0:22.5,1044
'0:0:22.55,1034
'0:0:22.6,1022
'0:0:22.65,1011
'0:0:22.7,998
'0:0:22.75,987
'0:0:22.8,975
'0:0:22.85,964
'0:0:22.9,951
'0:0:22.95,936
'0:0:23.0,921
'0:0:23.05,905
'0:0:23.1,881
'0:0:23.15,859
'0:0:23.2,842
'0:0:23.25,830
'0:0:23.3,822
'0:0:23.35,815
'0:0:23.4,805
'0:0:23.45,797
'0:0:23.5,787
'0:0:23.55,780
'0:0:23.6,772
'0:0:23.65,766
'0:0:23.7,761
'0:0:23.75,755
'0:0:23.8,749
'0:0:23.85,744
'0:0:23.9,738
'0:0:23.95,731
'0:0:24.0,724
'0:0:24.05,716
'0:0:24.1,700
'0:0:24.15,686
'0:0:24.2,677
'0:0:24.25,674
'0:0:24.3,677
'0:0:24.35,682
'0:0:24.4,685
'0:0:24.45,684
'0:0:24.5,680
'0:0:24.55,676
'0:0:24.6,672
'0:0:24.65,668
'0:0:24.7,666
'0:0:24.75,664
'0:0:24.8,662
'0:0:24.85,660
'0:0:24.9,661
'0:0:24.95,664
'0:0:25.0,671
'0:0:25.05,677
'0:0:25.1,680
'0:0:25.15,685
'0:0:25.2,701
'0:0:25.25,721
'0:0:25.3,746
'0:0:25.35,765
'0:0:25.4,783
'0:0:25.45,801
'0:0:25.5,819
'0:0:25.55,835
'0:0:25.6,852
'0:0:25.65,867
'0:0:25.7,883
'0:0:25.75,898
'0:0:25.8,914
'0:0:25.85,930
'0:0:25.9,945
'0:0:25.95,957
'0:0:26.0,969
'0:0:26.05,975
'0:0:26.1,975
'0:0:26.15,976
'0:0:26.2,985
'0:0:26.25,997
'0:0:26.3,1012
'0:0:26.35,1020
'0:0:26.4,1027
'0:0:26.45,1034
'0:0:26.5,1041
'0:0:26.55,1046
'0:0:26.6,1050
'0:0:26.65,1056
'0:0:26.7,1061
'0:0:26.75,1063
'0:0:26.8,1062
'0:0:26.85,1059
'0:0:26.9,1050
'0:0:26.95,1039
'0:0:27.0,1022
'0:0:27.05,998
'0:0:27.1,966
'0:0:27.15,942
'0:0:27.2,924
'0:0:27.25,912
'0:0:27.3,903
'0:0:27.35,893
'0:0:27.4,883
'0:0:27.45,873
'0:0:27.5,861
'0:0:27.55,851
'0:0:27.6,841
'0:0:27.65,832
'0:0:27.7,822
'0:0:27.75,813
'0:0:27.8,804
'0:0:27.85,798
'0:0:27.9,789
'0:0:27.95,780
'0:0:28.0,771
'0:0:28.05,757
'0:0:28.1,737
'0:0:28.15,722
'0:0:28.2,713
'0:0:28.25,710
'0:0:28.3,709
'0:0:28.35,708
'0:0:28.4,705
'0:0:28.45,702
'0:0:28.5,699
'0:0:28.55,697
'0:0:28.6,695
'0:0:28.65,692
'0:0:28.7,689
'0:0:28.75,685
'0:0:28.8,682
'0:0:28.85,678
'0:0:28.9,675
'0:0:28.95,670
'0:0:29.0,664
'0:0:29.05,661
'0:0:29.1,651
'0:0:29.15,640
'0:0:29.2,636
'0:0:29.25,642
'0:0:29.3,657
'0:0:29.35,676
'0:0:29.4,698
'0:0:29.45,718
