,id,value,date,type,event_id,event_type,frequency,datetime
0,129277,1007.73,2021-02-11T21:43:29.216Z,pressure,15,cough,25.48,2021-02-11 21:43:29.216
1,129184,27.85,2021-02-11T21:43:29.224Z,temperature,15,cough,18.18,2021-02-11 21:43:29.224
2,129276,1007.74,2021-02-11T21:43:29.255Z,pressure,15,cough,25.48,2021-02-11 21:43:29.255
3,129183,27.88,2021-02-11T21:43:29.279Z,temperature,15,cough,18.18,2021-02-11 21:43:29.279
4,129275,1007.74,2021-02-11T21:43:29.294Z,pressure,15,cough,25.48,2021-02-11 21:43:29.294
5,129274,1007.71,2021-02-11T21:43:29.333Z,pressure,15,cough,25.48,2021-02-11 21:43:29.333
6,129182,27.94,2021-02-11T21:43:29.334Z,temperature,15,cough,18.18,2021-02-11 21:43:29.334
7,129273,1007.7,2021-02-11T21:43:29.373Z,pressure,15,cough,25.48,2021-02-11 21:43:29.373
8,129181,27.9,2021-02-11T21:43:29.389Z,temperature,15,cough,18.18,2021-02-11 21:43:29.389
9,129272,1007.69,2021-02-11T21:43:29.412Z,pressure,15,cough,25.48,2021-02-11 21:43:29.412
10,129180,27.85,2021-02-11T21:43:29.444Z,temperature,15,cough,18.18,2021-02-11 21:43:29.444
11,129271,1007.65,2021-02-11T21:43:29.451Z,pressure,15,cough,25.48,2021-02-11 21:43:29.451
12,129270,1007.5,2021-02-11T21:43:29.490Z,pressure,15,cough,25.48,2021-02-11 21:43:29.490
13,129179,27.89,2021-02-11T21:43:29.499Z,temperature,15,cough,18.18,2021-02-11 21:43:29.499
14,129269,1007.36,2021-02-11T21:43:29.530Z,pressure,15,cough,25.48,2021-02-11 21:43:29.530
15,129178,27.9,2021-02-11T21:43:29.554Z,temperature,15,cough,18.18,2021-02-11 21:43:29.554
16,129268,1007.27,2021-02-11T21:43:29.569Z,pressure,15,cough,25.48,2021-02-11 21:43:29.569
17,129267,1007.22,2021-02-11T21:43:29.608Z,pressure,15,cough,25.48,2021-02-11 21:43:29.608
18,129177,27.9,2021-02-11T21:43:29.609Z,temperature,15,cough,18.18,2021-02-11 21:43:29.609
19,129266,1007.19,2021-02-11T21:43:29.647Z,pressure,15,cough,25.48,2021-02-11 21:43:29.647
20,129176,27.91,2021-02-11T21:43:29.664Z,temperature,15,cough,18.18,2021-02-11 21:43:29.664
21,129265,1007.14,2021-02-11T21:43:29.687Z,pressure,15,cough,25.48,2021-02-11 21:43:29.687
22,129175,27.88,2021-02-11T21:43:29.719Z,temperature,15,cough,18.18,2021-02-11 21:43:29.719
23,129264,1007.09,2021-02-11T21:43:29.726Z,pressure,15,cough,25.48,2021-02-11 21:43:29.726
24,129263,1007.06,2021-02-11T21:43:29.765Z,pressure,15,cough,25.48,2021-02-11 21:43:29.765
25,129174,27.9,2021-02-11T21:43:29.774Z,temperature,15,cough,18.18,2021-02-11 21:43:29.774
26,129262,1007.19,2021-02-11T21:43:29.804Z,pressure,15,cough,25.48,2021-02-11 21:43:29.804
27,129173,27.87,2021-02-11T21:43:29.829Z,temperature,15,cough,18.18,2021-02-11 21:43:29.829
28,129261,1007.24,2021-02-11T21:43:29.844Z,pressure,15,cough,25.48,2021-02-11 21:43:29.844
29,129260,1007.15,2021-02-11T21:43:29.883Z,pressure,15,cough,25.48,2021-02-11 21:43:29.883
30,129172,27.85,2021-02-11T21:43:29.884Z,temperature,15,cough,18.18,2021-02-11 21:43:29.884
31,129259,1007.09,2021-02-11T21:43:29.922Z,pressure,15,cough,25.48,2021-02-11 21:43:29.922
32,129171,27.9,2021-02-11T21:43:29.939Z,temperature,15,cough,18.18,2021-02-11 21:43:29.939
33,129258,1007.05,2021-02-11T21:43:29.961Z,pressure,15,cough,25.48,2021-02-11 21:43:29.961
34,129170,27.91,2021-02-11T21:43:29.994Z,temperature,15,cough,18.18,2021-02-11 21:43:29.994
35,129257,1007.11,2021-02-11T21:43:30.001Z,pressure,15,cough,25.48,2021-02-11 21:43:30.001
36,129256,1007.09,2021-02-11T21:43:30.040Z,pressure,15,cough,25.48,2021-02-11 21:43:30.040
37,129169,27.91,2021-02-11T21:43:30.049Z,temperature,15,cough,18.18,2021-02-11 21:43:30.049
38,129255,1006.98,2021-02-11T21:43:30.079Z,pressure,15,cough,25.48,2021-02-11 21:43:30.079
39,129168,27.93,2021-02-11T21:43:30.104Z,temperature,15,cough,18.18,2021-02-11 21:43:30.104
40,129254,1006.94,2021-02-11T21:43:30.118Z,pressure,15,cough,25.48,2021-02-11 21:43:30.118
41,129253,1006.92,2021-02-11T21:43:30.158Z,pressure,15,cough,25.48,2021-02-11 21:43:30.158
42,129167,27.9,2021-02-11T21:43:30.159Z,temperature,15,cough,18.18,2021-02-11 21:43:30.159
43,129444,1007.0,2021-02-11T21:43:30.209Z,pressure,15,cough,25.48,2021-02-11 21:43:30.209
44,129166,27.88,2021-02-11T21:43:30.214Z,temperature,15,cough,18.18,2021-02-11 21:43:30.214
45,129443,1007.13,2021-02-11T21:43:30.248Z,pressure,15,cough,25.48,2021-02-11 21:43:30.248
46,129165,27.9,2021-02-11T21:43:30.269Z,temperature,15,cough,18.18,2021-02-11 21:43:30.269
47,129442,1007.19,2021-02-11T21:43:30.287Z,pressure,15,cough,25.48,2021-02-11 21:43:30.287
