,id,value,date,type,event_id,event_type,datetime
0,9757,984.96,2021-02-05T22:17:46.282Z,pressure,2,normal_breathing,2021-02-05 22:17:46.282
1,9645,25.12,2021-02-05T22:17:46.296Z,temperature,2,normal_breathing,2021-02-05 22:17:46.296
2,9756,984.97,2021-02-05T22:17:46.321Z,pressure,2,normal_breathing,2021-02-05 22:17:46.321
3,9644,25.12,2021-02-05T22:17:46.351Z,temperature,2,normal_breathing,2021-02-05 22:17:46.351
4,9755,984.96,2021-02-05T22:17:46.361Z,pressure,2,normal_breathing,2021-02-05 22:17:46.361
5,9754,984.96,2021-02-05T22:17:46.400Z,pressure,2,normal_breathing,2021-02-05 22:17:46.400
6,9643,25.08,2021-02-05T22:17:46.406Z,temperature,2,normal_breathing,2021-02-05 22:17:46.406
7,9753,985.0,2021-02-05T22:17:46.439Z,pressure,2,normal_breathing,2021-02-05 22:17:46.439
8,9642,25.09,2021-02-05T22:17:46.461Z,temperature,2,normal_breathing,2021-02-05 22:17:46.461
9,9752,984.96,2021-02-05T22:17:46.479Z,pressure,2,normal_breathing,2021-02-05 22:17:46.479
10,9641,25.1,2021-02-05T22:17:46.516Z,temperature,2,normal_breathing,2021-02-05 22:17:46.516
11,9751,984.99,2021-02-05T22:17:46.518Z,pressure,2,normal_breathing,2021-02-05 22:17:46.518
12,9750,984.96,2021-02-05T22:17:46.557Z,pressure,2,normal_breathing,2021-02-05 22:17:46.557
13,9640,25.12,2021-02-05T22:17:46.571Z,temperature,2,normal_breathing,2021-02-05 22:17:46.571
14,9749,984.98,2021-02-05T22:17:46.596Z,pressure,2,normal_breathing,2021-02-05 22:17:46.596
15,9639,25.16,2021-02-05T22:17:46.626Z,temperature,2,normal_breathing,2021-02-05 22:17:46.626
16,9748,984.99,2021-02-05T22:17:46.636Z,pressure,2,normal_breathing,2021-02-05 22:17:46.636
17,9747,985.01,2021-02-05T22:17:46.675Z,pressure,2,normal_breathing,2021-02-05 22:17:46.675
