,id,value,date,type,event_id,event_type,frequency,datetime
0,30108,24.32,2021-02-10T16:36:36.271Z,temperature,3,talking,18.17,2021-02-10 16:36:36.271
1,30196,1007.12,2021-02-10T16:36:36.286Z,pressure,3,talking,25.44,2021-02-10 16:36:36.286
2,30195,1007.14,2021-02-10T16:36:36.325Z,pressure,3,talking,25.44,2021-02-10 16:36:36.325
3,30107,24.27,2021-02-10T16:36:36.326Z,temperature,3,talking,18.17,2021-02-10 16:36:36.326
4,30194,1007.1,2021-02-10T16:36:36.364Z,pressure,3,talking,25.44,2021-02-10 16:36:36.364
5,30106,24.21,2021-02-10T16:36:36.381Z,temperature,3,talking,18.17,2021-02-10 16:36:36.381
6,30193,1007.11,2021-02-10T16:36:36.404Z,pressure,3,talking,25.44,2021-02-10 16:36:36.404
7,30105,24.17,2021-02-10T16:36:36.436Z,temperature,3,talking,18.17,2021-02-10 16:36:36.436
8,30192,1007.1,2021-02-10T16:36:36.443Z,pressure,3,talking,25.44,2021-02-10 16:36:36.443
9,30191,1007.03,2021-02-10T16:36:36.482Z,pressure,3,talking,25.44,2021-02-10 16:36:36.482
10,30104,24.14,2021-02-10T16:36:36.491Z,temperature,3,talking,18.17,2021-02-10 16:36:36.491
11,30190,1007.07,2021-02-10T16:36:36.522Z,pressure,3,talking,25.44,2021-02-10 16:36:36.522
12,30103,24.1,2021-02-10T16:36:36.546Z,temperature,3,talking,18.17,2021-02-10 16:36:36.546
13,30189,1007.1,2021-02-10T16:36:36.561Z,pressure,3,talking,25.44,2021-02-10 16:36:36.561
14,30188,1007.1,2021-02-10T16:36:36.600Z,pressure,3,talking,25.44,2021-02-10 16:36:36.600
15,30102,24.1,2021-02-10T16:36:36.601Z,temperature,3,talking,18.17,2021-02-10 16:36:36.601
16,30187,1007.1,2021-02-10T16:36:36.639Z,pressure,3,talking,25.44,2021-02-10 16:36:36.639
17,30101,24.08,2021-02-10T16:36:36.656Z,temperature,3,talking,18.17,2021-02-10 16:36:36.656
18,30186,1007.11,2021-02-10T16:36:36.679Z,pressure,3,talking,25.44,2021-02-10 16:36:36.679
19,30100,24.11,2021-02-10T16:36:36.711Z,temperature,3,talking,18.17,2021-02-10 16:36:36.711
20,30185,1007.11,2021-02-10T16:36:36.718Z,pressure,3,talking,25.44,2021-02-10 16:36:36.718
21,30184,1007.13,2021-02-10T16:36:36.757Z,pressure,3,talking,25.44,2021-02-10 16:36:36.757
22,30099,24.04,2021-02-10T16:36:36.766Z,temperature,3,talking,18.17,2021-02-10 16:36:36.766
23,30183,1007.05,2021-02-10T16:36:36.797Z,pressure,3,talking,25.44,2021-02-10 16:36:36.797
