,id,value,date,type,event_id,event_type,datetime
0,13293,1003.02,2021-02-08T22:05:48.200Z,pressure,3,normal_breathing,2021-02-08 22:05:48.200
1,13197,28.24,2021-02-08T22:05:48.213Z,temperature,3,normal_breathing,2021-02-08 22:05:48.213
2,13292,1003.03,2021-02-08T22:05:48.239Z,pressure,3,normal_breathing,2021-02-08 22:05:48.239
3,13196,28.17,2021-02-08T22:05:48.268Z,temperature,3,normal_breathing,2021-02-08 22:05:48.268
4,13291,1003.05,2021-02-08T22:05:48.279Z,pressure,3,normal_breathing,2021-02-08 22:05:48.279
5,13290,1003.01,2021-02-08T22:05:48.318Z,pressure,3,normal_breathing,2021-02-08 22:05:48.318
6,13195,28.21,2021-02-08T22:05:48.323Z,temperature,3,normal_breathing,2021-02-08 22:05:48.323
7,13289,1003.05,2021-02-08T22:05:48.357Z,pressure,3,normal_breathing,2021-02-08 22:05:48.357
8,13194,28.21,2021-02-08T22:05:48.378Z,temperature,3,normal_breathing,2021-02-08 22:05:48.378
9,13480,1003.05,2021-02-08T22:05:48.394Z,pressure,3,normal_breathing,2021-02-08 22:05:48.394
10,13193,28.2,2021-02-08T22:05:48.433Z,temperature,3,normal_breathing,2021-02-08 22:05:48.433
11,13479,1003.05,2021-02-08T22:05:48.434Z,pressure,3,normal_breathing,2021-02-08 22:05:48.434
12,13478,1003.03,2021-02-08T22:05:48.473Z,pressure,3,normal_breathing,2021-02-08 22:05:48.473
13,13192,28.24,2021-02-08T22:05:48.488Z,temperature,3,normal_breathing,2021-02-08 22:05:48.488
14,13477,1003.1,2021-02-08T22:05:48.512Z,pressure,3,normal_breathing,2021-02-08 22:05:48.512
15,13191,28.23,2021-02-08T22:05:48.543Z,temperature,3,normal_breathing,2021-02-08 22:05:48.543
16,13476,1003.12,2021-02-08T22:05:48.551Z,pressure,3,normal_breathing,2021-02-08 22:05:48.551
17,13475,1003.1,2021-02-08T22:05:48.591Z,pressure,3,normal_breathing,2021-02-08 22:05:48.591
18,13190,28.2,2021-02-08T22:05:48.598Z,temperature,3,normal_breathing,2021-02-08 22:05:48.598
19,13474,1003.12,2021-02-08T22:05:48.630Z,pressure,3,normal_breathing,2021-02-08 22:05:48.630
20,13189,28.21,2021-02-08T22:05:48.654Z,temperature,3,normal_breathing,2021-02-08 22:05:48.654
21,13473,1003.17,2021-02-08T22:05:48.669Z,pressure,3,normal_breathing,2021-02-08 22:05:48.669
22,13472,1003.18,2021-02-08T22:05:48.708Z,pressure,3,normal_breathing,2021-02-08 22:05:48.708
23,13580,28.18,2021-02-08T22:05:48.737Z,temperature,3,normal_breathing,2021-02-08 22:05:48.737
24,13471,1003.19,2021-02-08T22:05:48.748Z,pressure,3,normal_breathing,2021-02-08 22:05:48.748
25,13470,1003.2,2021-02-08T22:05:48.787Z,pressure,3,normal_breathing,2021-02-08 22:05:48.787
26,13579,28.2,2021-02-08T22:05:48.793Z,temperature,3,normal_breathing,2021-02-08 22:05:48.793
27,13469,1003.2,2021-02-08T22:05:48.826Z,pressure,3,normal_breathing,2021-02-08 22:05:48.826
28,13578,28.2,2021-02-08T22:05:48.848Z,temperature,3,normal_breathing,2021-02-08 22:05:48.848
29,13468,1003.2,2021-02-08T22:05:48.866Z,pressure,3,normal_breathing,2021-02-08 22:05:48.866
30,13577,28.21,2021-02-08T22:05:48.903Z,temperature,3,normal_breathing,2021-02-08 22:05:48.903
31,13467,1003.18,2021-02-08T22:05:48.905Z,pressure,3,normal_breathing,2021-02-08 22:05:48.905
32,13466,1003.2,2021-02-08T22:05:48.944Z,pressure,3,normal_breathing,2021-02-08 22:05:48.944
33,13576,28.26,2021-02-08T22:05:48.959Z,temperature,3,normal_breathing,2021-02-08 22:05:48.959
