,id,value,date,type,event_id,event_type,datetime
0,23185,28.93,2021-02-09T17:10:07.035Z,temperature,4,normal_breathing,2021-02-09 17:10:07.035
1,23313,1007.58,2021-02-09T17:10:07.037Z,pressure,4,normal_breathing,2021-02-09 17:10:07.037
2,23312,1007.57,2021-02-09T17:10:07.076Z,pressure,4,normal_breathing,2021-02-09 17:10:07.076
3,23184,28.94,2021-02-09T17:10:07.090Z,temperature,4,normal_breathing,2021-02-09 17:10:07.090
4,23311,1007.54,2021-02-09T17:10:07.116Z,pressure,4,normal_breathing,2021-02-09 17:10:07.116
5,23183,28.91,2021-02-09T17:10:07.145Z,temperature,4,normal_breathing,2021-02-09 17:10:07.145
6,23310,1007.51,2021-02-09T17:10:07.155Z,pressure,4,normal_breathing,2021-02-09 17:10:07.155
7,23309,1007.51,2021-02-09T17:10:07.194Z,pressure,4,normal_breathing,2021-02-09 17:10:07.194
8,23182,28.94,2021-02-09T17:10:07.200Z,temperature,4,normal_breathing,2021-02-09 17:10:07.200
9,23308,1007.42,2021-02-09T17:10:07.233Z,pressure,4,normal_breathing,2021-02-09 17:10:07.233
10,23181,28.94,2021-02-09T17:10:07.255Z,temperature,4,normal_breathing,2021-02-09 17:10:07.255
11,23307,1007.41,2021-02-09T17:10:07.273Z,pressure,4,normal_breathing,2021-02-09 17:10:07.273
12,23180,28.93,2021-02-09T17:10:07.310Z,temperature,4,normal_breathing,2021-02-09 17:10:07.310
13,23306,1007.37,2021-02-09T17:10:07.312Z,pressure,4,normal_breathing,2021-02-09 17:10:07.312
14,23305,1007.32,2021-02-09T17:10:07.351Z,pressure,4,normal_breathing,2021-02-09 17:10:07.351
15,23179,28.97,2021-02-09T17:10:07.365Z,temperature,4,normal_breathing,2021-02-09 17:10:07.365
16,23304,1007.23,2021-02-09T17:10:07.390Z,pressure,4,normal_breathing,2021-02-09 17:10:07.390
17,23178,28.93,2021-02-09T17:10:07.420Z,temperature,4,normal_breathing,2021-02-09 17:10:07.420
18,23303,1007.16,2021-02-09T17:10:07.430Z,pressure,4,normal_breathing,2021-02-09 17:10:07.430
19,23302,1007.13,2021-02-09T17:10:07.469Z,pressure,4,normal_breathing,2021-02-09 17:10:07.469
20,23177,28.94,2021-02-09T17:10:07.475Z,temperature,4,normal_breathing,2021-02-09 17:10:07.475
21,23301,1007.12,2021-02-09T17:10:07.508Z,pressure,4,normal_breathing,2021-02-09 17:10:07.508
22,23176,28.99,2021-02-09T17:10:07.530Z,temperature,4,normal_breathing,2021-02-09 17:10:07.530
23,23300,1007.12,2021-02-09T17:10:07.547Z,pressure,4,normal_breathing,2021-02-09 17:10:07.547
24,23175,28.95,2021-02-09T17:10:07.585Z,temperature,4,normal_breathing,2021-02-09 17:10:07.585
25,23299,1007.08,2021-02-09T17:10:07.587Z,pressure,4,normal_breathing,2021-02-09 17:10:07.587
26,23298,1007.11,2021-02-09T17:10:07.626Z,pressure,4,normal_breathing,2021-02-09 17:10:07.626
27,23174,28.95,2021-02-09T17:10:07.640Z,temperature,4,normal_breathing,2021-02-09 17:10:07.640
28,23297,1007.08,2021-02-09T17:10:07.665Z,pressure,4,normal_breathing,2021-02-09 17:10:07.665
29,23173,29.0,2021-02-09T17:10:07.695Z,temperature,4,normal_breathing,2021-02-09 17:10:07.695
30,23296,1007.09,2021-02-09T17:10:07.704Z,pressure,4,normal_breathing,2021-02-09 17:10:07.704
31,23295,1007.07,2021-02-09T17:10:07.744Z,pressure,4,normal_breathing,2021-02-09 17:10:07.744
32,23172,29.0,2021-02-09T17:10:07.750Z,temperature,4,normal_breathing,2021-02-09 17:10:07.750
33,23294,1007.05,2021-02-09T17:10:07.783Z,pressure,4,normal_breathing,2021-02-09 17:10:07.783
34,23171,29.01,2021-02-09T17:10:07.805Z,temperature,4,normal_breathing,2021-02-09 17:10:07.805
35,23293,1007.08,2021-02-09T17:10:07.822Z,pressure,4,normal_breathing,2021-02-09 17:10:07.822
36,23170,29.01,2021-02-09T17:10:07.860Z,temperature,4,normal_breathing,2021-02-09 17:10:07.860
37,23292,1007.04,2021-02-09T17:10:07.861Z,pressure,4,normal_breathing,2021-02-09 17:10:07.861
38,23291,1007.05,2021-02-09T17:10:07.901Z,pressure,4,normal_breathing,2021-02-09 17:10:07.901
39,23169,29.02,2021-02-09T17:10:07.915Z,temperature,4,normal_breathing,2021-02-09 17:10:07.915
40,23290,1007.06,2021-02-09T17:10:07.940Z,pressure,4,normal_breathing,2021-02-09 17:10:07.940
41,23168,29.03,2021-02-09T17:10:07.970Z,temperature,4,normal_breathing,2021-02-09 17:10:07.970
42,23289,1007.05,2021-02-09T17:10:07.979Z,pressure,4,normal_breathing,2021-02-09 17:10:07.979
43,23288,1007.09,2021-02-09T17:10:08.018Z,pressure,4,normal_breathing,2021-02-09 17:10:08.018
44,23167,29.04,2021-02-09T17:10:08.025Z,temperature,4,normal_breathing,2021-02-09 17:10:08.025
45,23287,1007.09,2021-02-09T17:10:08.058Z,pressure,4,normal_breathing,2021-02-09 17:10:08.058
46,23166,29.03,2021-02-09T17:10:08.080Z,temperature,4,normal_breathing,2021-02-09 17:10:08.080
47,23286,1007.06,2021-02-09T17:10:08.097Z,pressure,4,normal_breathing,2021-02-09 17:10:08.097
48,23165,28.98,2021-02-09T17:10:08.135Z,temperature,4,normal_breathing,2021-02-09 17:10:08.135
49,23285,1007.11,2021-02-09T17:10:08.136Z,pressure,4,normal_breathing,2021-02-09 17:10:08.136
50,23284,1007.1,2021-02-09T17:10:08.175Z,pressure,4,normal_breathing,2021-02-09 17:10:08.175
51,23164,29.05,2021-02-09T17:10:08.190Z,temperature,4,normal_breathing,2021-02-09 17:10:08.190
52,23283,1007.1,2021-02-09T17:10:08.215Z,pressure,4,normal_breathing,2021-02-09 17:10:08.215
53,23163,29.04,2021-02-09T17:10:08.245Z,temperature,4,normal_breathing,2021-02-09 17:10:08.245
54,23282,1007.13,2021-02-09T17:10:08.254Z,pressure,4,normal_breathing,2021-02-09 17:10:08.254
55,23281,1007.15,2021-02-09T17:10:08.293Z,pressure,4,normal_breathing,2021-02-09 17:10:08.293
56,23162,28.99,2021-02-09T17:10:08.300Z,temperature,4,normal_breathing,2021-02-09 17:10:08.300
57,23280,1007.16,2021-02-09T17:10:08.332Z,pressure,4,normal_breathing,2021-02-09 17:10:08.332
58,23161,29.02,2021-02-09T17:10:08.355Z,temperature,4,normal_breathing,2021-02-09 17:10:08.355
59,23279,1007.17,2021-02-09T17:10:08.372Z,pressure,4,normal_breathing,2021-02-09 17:10:08.372
60,23160,28.99,2021-02-09T17:10:08.411Z,temperature,4,normal_breathing,2021-02-09 17:10:08.411
61,23278,1007.15,2021-02-09T17:10:08.411Z,pressure,4,normal_breathing,2021-02-09 17:10:08.411
62,23277,1007.22,2021-02-09T17:10:08.450Z,pressure,4,normal_breathing,2021-02-09 17:10:08.450
63,23159,29.06,2021-02-09T17:10:08.466Z,temperature,4,normal_breathing,2021-02-09 17:10:08.466
64,23276,1007.22,2021-02-09T17:10:08.489Z,pressure,4,normal_breathing,2021-02-09 17:10:08.489
65,23158,29.03,2021-02-09T17:10:08.521Z,temperature,4,normal_breathing,2021-02-09 17:10:08.521
66,23275,1007.18,2021-02-09T17:10:08.529Z,pressure,4,normal_breathing,2021-02-09 17:10:08.529
67,23274,1007.19,2021-02-09T17:10:08.568Z,pressure,4,normal_breathing,2021-02-09 17:10:08.568
68,23157,29.05,2021-02-09T17:10:08.576Z,temperature,4,normal_breathing,2021-02-09 17:10:08.576
69,23273,1007.18,2021-02-09T17:10:08.607Z,pressure,4,normal_breathing,2021-02-09 17:10:08.607
70,23156,29.05,2021-02-09T17:10:08.631Z,temperature,4,normal_breathing,2021-02-09 17:10:08.631
71,23272,1007.21,2021-02-09T17:10:08.646Z,pressure,4,normal_breathing,2021-02-09 17:10:08.646
72,23155,29.05,2021-02-09T17:10:08.686Z,temperature,4,normal_breathing,2021-02-09 17:10:08.686
73,23271,1007.16,2021-02-09T17:10:08.686Z,pressure,4,normal_breathing,2021-02-09 17:10:08.686
74,23270,1007.22,2021-02-09T17:10:08.725Z,pressure,4,normal_breathing,2021-02-09 17:10:08.725
75,23154,29.05,2021-02-09T17:10:08.741Z,temperature,4,normal_breathing,2021-02-09 17:10:08.741
76,23269,1007.19,2021-02-09T17:10:08.764Z,pressure,4,normal_breathing,2021-02-09 17:10:08.764
77,23153,29.04,2021-02-09T17:10:08.796Z,temperature,4,normal_breathing,2021-02-09 17:10:08.796
78,23268,1007.23,2021-02-09T17:10:08.803Z,pressure,4,normal_breathing,2021-02-09 17:10:08.803
79,23267,1007.23,2021-02-09T17:10:08.843Z,pressure,4,normal_breathing,2021-02-09 17:10:08.843
80,23152,29.06,2021-02-09T17:10:08.851Z,temperature,4,normal_breathing,2021-02-09 17:10:08.851
81,23266,1007.22,2021-02-09T17:10:08.882Z,pressure,4,normal_breathing,2021-02-09 17:10:08.882
82,23151,29.06,2021-02-09T17:10:08.906Z,temperature,4,normal_breathing,2021-02-09 17:10:08.906
83,23265,1007.19,2021-02-09T17:10:08.921Z,pressure,4,normal_breathing,2021-02-09 17:10:08.921
84,23264,1007.23,2021-02-09T17:10:08.960Z,pressure,4,normal_breathing,2021-02-09 17:10:08.960
85,23150,29.03,2021-02-09T17:10:08.961Z,temperature,4,normal_breathing,2021-02-09 17:10:08.961
86,23263,1007.24,2021-02-09T17:10:08.999Z,pressure,4,normal_breathing,2021-02-09 17:10:08.999
87,23149,29.03,2021-02-09T17:10:09.016Z,temperature,4,normal_breathing,2021-02-09 17:10:09.016
88,23262,1007.25,2021-02-09T17:10:09.039Z,pressure,4,normal_breathing,2021-02-09 17:10:09.039
89,23148,29.02,2021-02-09T17:10:09.071Z,temperature,4,normal_breathing,2021-02-09 17:10:09.071
90,23261,1007.26,2021-02-09T17:10:09.078Z,pressure,4,normal_breathing,2021-02-09 17:10:09.078
91,23260,1007.21,2021-02-09T17:10:09.117Z,pressure,4,normal_breathing,2021-02-09 17:10:09.117
92,23147,29.0,2021-02-09T17:10:09.126Z,temperature,4,normal_breathing,2021-02-09 17:10:09.126
93,23259,1007.2,2021-02-09T17:10:09.156Z,pressure,4,normal_breathing,2021-02-09 17:10:09.156
94,23146,28.99,2021-02-09T17:10:09.181Z,temperature,4,normal_breathing,2021-02-09 17:10:09.181
95,23258,1007.3,2021-02-09T17:10:09.196Z,pressure,4,normal_breathing,2021-02-09 17:10:09.196
96,23257,1007.25,2021-02-09T17:10:09.235Z,pressure,4,normal_breathing,2021-02-09 17:10:09.235
97,23145,28.98,2021-02-09T17:10:09.236Z,temperature,4,normal_breathing,2021-02-09 17:10:09.236
98,23256,1007.25,2021-02-09T17:10:09.274Z,pressure,4,normal_breathing,2021-02-09 17:10:09.274
99,23440,28.98,2021-02-09T17:10:09.279Z,temperature,4,normal_breathing,2021-02-09 17:10:09.279
100,23255,1007.27,2021-02-09T17:10:09.313Z,pressure,4,normal_breathing,2021-02-09 17:10:09.313
101,23439,28.94,2021-02-09T17:10:09.334Z,temperature,4,normal_breathing,2021-02-09 17:10:09.334
102,23254,1007.28,2021-02-09T17:10:09.353Z,pressure,4,normal_breathing,2021-02-09 17:10:09.353
103,23438,28.88,2021-02-09T17:10:09.389Z,temperature,4,normal_breathing,2021-02-09 17:10:09.389
104,23253,1007.28,2021-02-09T17:10:09.392Z,pressure,4,normal_breathing,2021-02-09 17:10:09.392
105,23252,1007.26,2021-02-09T17:10:09.431Z,pressure,4,normal_breathing,2021-02-09 17:10:09.431
106,23437,28.89,2021-02-09T17:10:09.444Z,temperature,4,normal_breathing,2021-02-09 17:10:09.444
107,23251,1007.31,2021-02-09T17:10:09.470Z,pressure,4,normal_breathing,2021-02-09 17:10:09.470
108,23436,28.79,2021-02-09T17:10:09.499Z,temperature,4,normal_breathing,2021-02-09 17:10:09.499
109,23250,1007.28,2021-02-09T17:10:09.510Z,pressure,4,normal_breathing,2021-02-09 17:10:09.510
110,23249,1007.32,2021-02-09T17:10:09.549Z,pressure,4,normal_breathing,2021-02-09 17:10:09.549
111,23435,28.78,2021-02-09T17:10:09.554Z,temperature,4,normal_breathing,2021-02-09 17:10:09.554
112,23248,1007.33,2021-02-09T17:10:09.588Z,pressure,4,normal_breathing,2021-02-09 17:10:09.588
113,23434,28.76,2021-02-09T17:10:09.609Z,temperature,4,normal_breathing,2021-02-09 17:10:09.609
114,23247,1007.29,2021-02-09T17:10:09.627Z,pressure,4,normal_breathing,2021-02-09 17:10:09.627
115,23433,28.71,2021-02-09T17:10:09.664Z,temperature,4,normal_breathing,2021-02-09 17:10:09.664
116,23246,1007.26,2021-02-09T17:10:09.667Z,pressure,4,normal_breathing,2021-02-09 17:10:09.667
117,23245,1007.29,2021-02-09T17:10:09.706Z,pressure,4,normal_breathing,2021-02-09 17:10:09.706
118,23432,28.7,2021-02-09T17:10:09.719Z,temperature,4,normal_breathing,2021-02-09 17:10:09.719
119,23536,1007.29,2021-02-09T17:10:09.758Z,pressure,4,normal_breathing,2021-02-09 17:10:09.758
120,23431,28.69,2021-02-09T17:10:09.774Z,temperature,4,normal_breathing,2021-02-09 17:10:09.774
121,23535,1007.33,2021-02-09T17:10:09.797Z,pressure,4,normal_breathing,2021-02-09 17:10:09.797
122,23430,28.67,2021-02-09T17:10:09.829Z,temperature,4,normal_breathing,2021-02-09 17:10:09.829
123,23534,1007.31,2021-02-09T17:10:09.836Z,pressure,4,normal_breathing,2021-02-09 17:10:09.836
124,23533,1007.3,2021-02-09T17:10:09.875Z,pressure,4,normal_breathing,2021-02-09 17:10:09.875
125,23429,28.64,2021-02-09T17:10:09.884Z,temperature,4,normal_breathing,2021-02-09 17:10:09.884
126,23532,1007.35,2021-02-09T17:10:09.915Z,pressure,4,normal_breathing,2021-02-09 17:10:09.915
127,23428,28.63,2021-02-09T17:10:09.939Z,temperature,4,normal_breathing,2021-02-09 17:10:09.939
128,23531,1007.37,2021-02-09T17:10:09.954Z,pressure,4,normal_breathing,2021-02-09 17:10:09.954
129,23530,1007.37,2021-02-09T17:10:09.993Z,pressure,4,normal_breathing,2021-02-09 17:10:09.993
130,23427,28.65,2021-02-09T17:10:09.994Z,temperature,4,normal_breathing,2021-02-09 17:10:09.994
131,23529,1007.4,2021-02-09T17:10:10.032Z,pressure,4,normal_breathing,2021-02-09 17:10:10.032
132,23426,28.63,2021-02-09T17:10:10.049Z,temperature,4,normal_breathing,2021-02-09 17:10:10.049
133,23528,1007.42,2021-02-09T17:10:10.072Z,pressure,4,normal_breathing,2021-02-09 17:10:10.072
134,23425,28.61,2021-02-09T17:10:10.104Z,temperature,4,normal_breathing,2021-02-09 17:10:10.104
135,23527,1007.43,2021-02-09T17:10:10.111Z,pressure,4,normal_breathing,2021-02-09 17:10:10.111
136,23526,1007.42,2021-02-09T17:10:10.150Z,pressure,4,normal_breathing,2021-02-09 17:10:10.150
137,23424,28.61,2021-02-09T17:10:10.159Z,temperature,4,normal_breathing,2021-02-09 17:10:10.159
138,23525,1007.42,2021-02-09T17:10:10.189Z,pressure,4,normal_breathing,2021-02-09 17:10:10.189
139,23423,28.62,2021-02-09T17:10:10.214Z,temperature,4,normal_breathing,2021-02-09 17:10:10.214
140,23524,1007.42,2021-02-09T17:10:10.229Z,pressure,4,normal_breathing,2021-02-09 17:10:10.229
141,23523,1007.48,2021-02-09T17:10:10.268Z,pressure,4,normal_breathing,2021-02-09 17:10:10.268
142,23422,28.59,2021-02-09T17:10:10.269Z,temperature,4,normal_breathing,2021-02-09 17:10:10.269
143,23522,1007.5,2021-02-09T17:10:10.307Z,pressure,4,normal_breathing,2021-02-09 17:10:10.307
