Time,Arb
'-0:0:0.63,796
'-0:0:0.62,798
'-0:0:0.61,799
'-0:0:0.6,800
'-0:0:0.59,800
'-0:0:0.58,801
'-0:0:0.57,801
'-0:0:0.56,802
'-0:0:0.55,802
'-0:0:0.54,802
'-0:0:0.53,803
'-0:0:0.52,803
'-0:0:0.51,803
'-0:0:0.5,804
'-0:0:0.49,804
'-0:0:0.48,805
'-0:0:0.47,805
'-0:0:0.46,806
'-0:0:0.45,806
'-0:0:0.44,807
'-0:0:0.43,807
'-0:0:0.42,808
'-0:0:0.41,809
'-0:0:0.4,810
'-0:0:0.39,812
'-0:0:0.38,814
'-0:0:0.37,815
'-0:0:0.36,818
'-0:0:0.35,820
'-0:0:0.34,823
'-0:0:0.33,825
'-0:0:0.32,828
'-0:0:0.31,829
'-0:0:0.3,832
'-0:0:0.29,833
'-0:0:0.28,835
'-0:0:0.27,837
'-0:0:0.26,839
'-0:0:0.25,840
'-0:0:0.24,842
'-0:0:0.23,844
'-0:0:0.22,846
'-0:0:0.21,848
'-0:0:0.2,851
'-0:0:0.19,853
'-0:0:0.18,856
'-0:0:0.17,858
'-0:0:0.16,861
'-0:0:0.15,864
'-0:0:0.14,867
'-0:0:0.13,869
'-0:0:0.12,873
'-0:0:0.11,875
'-0:0:0.1,878
'-0:0:0.09,881
'-0:0:0.08,884
'-0:0:0.07,886
'-0:0:0.06,889
'-0:0:0.05,891
'-0:0:0.04,894
'-0:0:0.03,896
'-0:0:0.02,899
'-0:0:0.01,901
'0:0:0.0,904
'0:0:0.01,906
'0:0:0.02,910
'0:0:0.03,912
'0:0:0.04,916
'0:0:0.05,918
'0:0:0.06,922
'0:0:0.07,925
'0:0:0.08,928
'0:0:0.09,931
'0:0:0.1,934
'0:0:0.11,936
'0:0:0.12,939
'0:0:0.13,941
'0:0:0.14,944
'0:0:0.15,946
'0:0:0.16,949
'0:0:0.17,950
'0:0:0.18,952
'0:0:0.19,954
'0:0:0.2,956
'0:0:0.21,956
'0:0:0.22,958
'0:0:0.23,958
'0:0:0.24,958
'0:0:0.25,958
'0:0:0.26,958
'0:0:0.27,958
'0:0:0.28,958
'0:0:0.29,957
'0:0:0.3,956
'0:0:0.31,955
'0:0:0.32,954
'0:0:0.33,954
'0:0:0.34,953
'0:0:0.35,952
'0:0:0.36,952
'0:0:0.37,951
'0:0:0.38,951
'0:0:0.39,951
'0:0:0.4,951
'0:0:0.41,952
'0:0:0.42,952
'0:0:0.43,952
'0:0:0.44,953
'0:0:0.45,953
'0:0:0.46,954
'0:0:0.47,955
'0:0:0.48,956
'0:0:0.49,956
'0:0:0.5,957
'0:0:0.51,957
'0:0:0.52,957
'0:0:0.53,957
'0:0:0.54,956
'0:0:0.55,955
'0:0:0.56,954
'0:0:0.57,952
'0:0:0.58,951
'0:0:0.59,949
'0:0:0.6,947
'0:0:0.61,946
'0:0:0.62,944
'0:0:0.63,943
'0:0:0.64,942
'0:0:0.65,941
'0:0:0.66,941
'0:0:0.67,940
'0:0:0.68,939
'0:0:0.69,939
'0:0:0.7,938
'0:0:0.71,938
'0:0:0.72,938
'0:0:0.73,938
'0:0:0.74,937
'0:0:0.75,937
'0:0:0.76,936
'0:0:0.77,936
'0:0:0.78,936
'0:0:0.79,936
'0:0:0.8,936
'0:0:0.81,936
'0:0:0.82,936
'0:0:0.83,937
'0:0:0.84,939
'0:0:0.85,940
'0:0:0.86,944
'0:0:0.87,946
'0:0:0.88,950
'0:0:0.89,952
'0:0:0.9,956
'0:0:0.91,957
'0:0:0.92,960
'0:0:0.93,961
'0:0:0.94,962
'0:0:0.95,962
'0:0:0.96,962
'0:0:0.97,962
'0:0:0.98,961
'0:0:0.99,960
'0:0:1.0,958
'0:0:1.01,957
'0:0:1.02,954
'0:0:1.03,952
'0:0:1.04,948
'0:0:1.05,945
'0:0:1.06,939
'0:0:1.07,934
'0:0:1.08,927
'0:0:1.09,922
'0:0:1.1,914
'0:0:1.11,908
'0:0:1.12,900
'0:0:1.13,894
'0:0:1.14,885
'0:0:1.15,879
'0:0:1.16,871
'0:0:1.17,866
'0:0:1.18,859
'0:0:1.19,855
'0:0:1.2,848
'0:0:1.21,844
'0:0:1.22,839
'0:0:1.23,835
'0:0:1.24,830
'0:0:1.25,826
'0:0:1.26,821
'0:0:1.27,817
'0:0:1.28,812
'0:0:1.29,809
'0:0:1.3,803
'0:0:1.31,800
'0:0:1.32,795
'0:0:1.33,792
'0:0:1.34,788
'0:0:1.35,785
'0:0:1.36,780
'0:0:1.37,777
'0:0:1.38,772
'0:0:1.39,769
'0:0:1.4,765
'0:0:1.41,762
'0:0:1.42,756
'0:0:1.43,753
'0:0:1.44,749
'0:0:1.45,747
'0:0:1.46,743
'0:0:1.47,741
'0:0:1.48,738
'0:0:1.49,736
'0:0:1.5,733
'0:0:1.51,731
'0:0:1.52,729
'0:0:1.53,727
'0:0:1.54,724
'0:0:1.55,722
'0:0:1.56,719
'0:0:1.57,717
'0:0:1.58,713
'0:0:1.59,711
'0:0:1.6,708
'0:0:1.61,706
'0:0:1.62,702
'0:0:1.63,700
'0:0:1.64,697
'0:0:1.65,695
'0:0:1.66,692
'0:0:1.67,690
'0:0:1.68,688
'0:0:1.69,686
'0:0:1.7,683
'0:0:1.71,681
'0:0:1.72,678
'0:0:1.73,676
'0:0:1.74,674
'0:0:1.75,672
'0:0:1.76,669
'0:0:1.77,668
'0:0:1.78,666
'0:0:1.79,665
'0:0:1.8,663
'0:0:1.81,662
'0:0:1.82,660
'0:0:1.83,659
'0:0:1.84,658
'0:0:1.85,657
'0:0:1.86,655
'0:0:1.87,653
'0:0:1.88,652
'0:0:1.89,651
'0:0:1.9,649
'0:0:1.91,647
'0:0:1.92,645
'0:0:1.93,644
'0:0:1.94,642
'0:0:1.95,641
'0:0:1.96,639
'0:0:1.97,637
'0:0:1.98,635
'0:0:1.99,633
'0:0:2.0,630
'0:0:2.01,628
'0:0:2.02,624
'0:0:2.03,622
'0:0:2.04,618
'0:0:2.05,616
'0:0:2.06,613
'0:0:2.07,611
'0:0:2.08,609
'0:0:2.09,607
'0:0:2.1,605
'0:0:2.11,604
'0:0:2.12,602
'0:0:2.13,600
'0:0:2.14,598
'0:0:2.15,597
'0:0:2.16,594
'0:0:2.17,593
'0:0:2.18,590
'0:0:2.19,589
'0:0:2.2,586
'0:0:2.21,585
'0:0:2.22,583
'0:0:2.23,582
'0:0:2.24,581
'0:0:2.25,580
'0:0:2.26,579
'0:0:2.27,578
'0:0:2.28,577
'0:0:2.29,576
'0:0:2.3,575
'0:0:2.31,574
'0:0:2.32,572
'0:0:2.33,571
'0:0:2.34,570
'0:0:2.35,569
'0:0:2.36,567
'0:0:2.37,567
'0:0:2.38,566
'0:0:2.39,565
'0:0:2.4,565
'0:0:2.41,565
'0:0:2.42,564
'0:0:2.43,564
'0:0:2.44,564
'0:0:2.45,563
'0:0:2.46,562
'0:0:2.47,562
'0:0:2.48,561
'0:0:2.49,560
'0:0:2.5,559
'0:0:2.51,558
'0:0:2.52,557
'0:0:2.53,556
'0:0:2.54,555
'0:0:2.55,554
'0:0:2.56,553
'0:0:2.57,552
