,id,value,date,type,event_id,event_type,frequency,start_time
0,30108,24.32,2021-02-10 16:36:36.271,temperature,3,talking,18.17,2021-02-10 16:36:38.417
1,30196,1007.12,2021-02-10 16:36:36.286,pressure,3,talking,25.44,2021-02-10 16:36:37.347
2,30195,1007.14,2021-02-10 16:36:36.325,pressure,3,talking,25.44,2021-02-10 16:36:37.347
3,30107,24.27,2021-02-10 16:36:36.326,temperature,3,talking,18.17,2021-02-10 16:36:38.417
4,30194,1007.1,2021-02-10 16:36:36.364,pressure,3,talking,25.44,2021-02-10 16:36:37.347
5,30106,24.21,2021-02-10 16:36:36.381,temperature,3,talking,18.17,2021-02-10 16:36:38.417
6,30193,1007.11,2021-02-10 16:36:36.404,pressure,3,talking,25.44,2021-02-10 16:36:37.347
7,30105,24.17,2021-02-10 16:36:36.436,temperature,3,talking,18.17,2021-02-10 16:36:38.417
8,30192,1007.1,2021-02-10 16:36:36.443,pressure,3,talking,25.44,2021-02-10 16:36:37.347
9,30191,1007.03,2021-02-10 16:36:36.482,pressure,3,talking,25.44,2021-02-10 16:36:37.347
10,30104,24.14,2021-02-10 16:36:36.491,temperature,3,talking,18.17,2021-02-10 16:36:38.417
11,30190,1007.07,2021-02-10 16:36:36.522,pressure,3,talking,25.44,2021-02-10 16:36:37.347
12,30103,24.1,2021-02-10 16:36:36.546,temperature,3,talking,18.17,2021-02-10 16:36:38.417
13,30189,1007.1,2021-02-10 16:36:36.561,pressure,3,talking,25.44,2021-02-10 16:36:37.347
14,30188,1007.1,2021-02-10 16:36:36.600,pressure,3,talking,25.44,2021-02-10 16:36:37.347
15,30102,24.1,2021-02-10 16:36:36.601,temperature,3,talking,18.17,2021-02-10 16:36:38.417
16,30187,1007.1,2021-02-10 16:36:36.639,pressure,3,talking,25.44,2021-02-10 16:36:37.347
17,30101,24.08,2021-02-10 16:36:36.656,temperature,3,talking,18.17,2021-02-10 16:36:38.417
18,30186,1007.11,2021-02-10 16:36:36.679,pressure,3,talking,25.44,2021-02-10 16:36:37.347
19,30100,24.11,2021-02-10 16:36:36.711,temperature,3,talking,18.17,2021-02-10 16:36:38.417
20,30185,1007.11,2021-02-10 16:36:36.718,pressure,3,talking,25.44,2021-02-10 16:36:37.347
21,30184,1007.13,2021-02-10 16:36:36.757,pressure,3,talking,25.44,2021-02-10 16:36:37.347
22,30099,24.04,2021-02-10 16:36:36.766,temperature,3,talking,18.17,2021-02-10 16:36:38.417
23,30183,1007.05,2021-02-10 16:36:36.797,pressure,3,talking,25.44,2021-02-10 16:36:37.347
24,30098,24.13,2021-02-10 16:36:36.821,temperature,3,talking,18.17,2021-02-10 16:36:38.417
25,30182,1007.1,2021-02-10 16:36:36.836,pressure,3,talking,25.44,2021-02-10 16:36:37.347
26,30181,1007.1,2021-02-10 16:36:36.875,pressure,3,talking,25.44,2021-02-10 16:36:37.347
27,30097,24.18,2021-02-10 16:36:36.876,temperature,3,talking,18.17,2021-02-10 16:36:38.417
28,30180,1007.05,2021-02-10 16:36:36.915,pressure,3,talking,25.44,2021-02-10 16:36:37.347
29,30096,24.25,2021-02-10 16:36:36.931,temperature,3,talking,18.17,2021-02-10 16:36:38.417
30,30179,1007.05,2021-02-10 16:36:36.954,pressure,3,talking,25.44,2021-02-10 16:36:37.347
31,30095,24.27,2021-02-10 16:36:36.986,temperature,3,talking,18.17,2021-02-10 16:36:38.417
32,30178,1007.04,2021-02-10 16:36:36.993,pressure,3,talking,25.44,2021-02-10 16:36:37.347
33,30177,1007.03,2021-02-10 16:36:37.033,pressure,3,talking,25.44,2021-02-10 16:36:37.347
34,30094,24.35,2021-02-10 16:36:37.041,temperature,3,talking,18.17,2021-02-10 16:36:38.417
35,30176,1007.03,2021-02-10 16:36:37.072,pressure,3,talking,25.44,2021-02-10 16:36:37.347
36,30093,24.41,2021-02-10 16:36:37.096,temperature,3,talking,18.17,2021-02-10 16:36:38.417
37,30175,1007.01,2021-02-10 16:36:37.111,pressure,3,talking,25.44,2021-02-10 16:36:37.347
38,30174,1006.98,2021-02-10 16:36:37.150,pressure,3,talking,25.44,2021-02-10 16:36:37.347
39,30092,24.45,2021-02-10 16:36:37.151,temperature,3,talking,18.17,2021-02-10 16:36:38.417
40,30173,1006.99,2021-02-10 16:36:37.190,pressure,3,talking,25.44,2021-02-10 16:36:37.347
41,30091,24.48,2021-02-10 16:36:37.206,temperature,3,talking,18.17,2021-02-10 16:36:38.417
42,30172,1006.97,2021-02-10 16:36:37.229,pressure,3,talking,25.44,2021-02-10 16:36:37.347
43,30090,24.56,2021-02-10 16:36:37.261,temperature,3,talking,18.17,2021-02-10 16:36:38.417
44,30171,1007.0,2021-02-10 16:36:37.268,pressure,3,talking,25.44,2021-02-10 16:36:37.347
45,30170,1007.0,2021-02-10 16:36:37.308,pressure,3,talking,25.44,2021-02-10 16:36:37.347
46,30089,24.58,2021-02-10 16:36:37.316,temperature,3,talking,18.17,2021-02-10 16:36:38.417
47,30169,1007.06,2021-02-10 16:36:37.347,pressure,3,talking,25.44,2021-02-10 16:36:37.347
48,30360,1007.09,2021-02-10 16:36:37.362,pressure,3,talking,25.44,2021-02-10 16:36:41.097
49,30088,24.6,2021-02-10 16:36:37.371,temperature,3,talking,18.17,2021-02-10 16:36:38.417
50,30359,1007.19,2021-02-10 16:36:37.402,pressure,3,talking,25.44,2021-02-10 16:36:41.097
51,30087,24.64,2021-02-10 16:36:37.426,temperature,3,talking,18.17,2021-02-10 16:36:38.417
52,30358,1007.23,2021-02-10 16:36:37.441,pressure,3,talking,25.44,2021-02-10 16:36:41.097
53,30357,1007.26,2021-02-10 16:36:37.480,pressure,3,talking,25.44,2021-02-10 16:36:41.097
54,30086,24.73,2021-02-10 16:36:37.481,temperature,3,talking,18.17,2021-02-10 16:36:38.417
55,30356,1007.32,2021-02-10 16:36:37.520,pressure,3,talking,25.44,2021-02-10 16:36:41.097
56,30085,24.69,2021-02-10 16:36:37.536,temperature,3,talking,18.17,2021-02-10 16:36:38.417
57,30355,1007.28,2021-02-10 16:36:37.559,pressure,3,talking,25.44,2021-02-10 16:36:41.097
58,30084,24.75,2021-02-10 16:36:37.592,temperature,3,talking,18.17,2021-02-10 16:36:38.417
59,30354,1007.29,2021-02-10 16:36:37.598,pressure,3,talking,25.44,2021-02-10 16:36:41.097
60,30353,1007.29,2021-02-10 16:36:37.637,pressure,3,talking,25.44,2021-02-10 16:36:41.097
61,30083,24.77,2021-02-10 16:36:37.647,temperature,3,talking,18.17,2021-02-10 16:36:38.417
