,id,value,date,type,event_id,event_type,frequency,start_time
0,94974,27.39,2021-02-10 22:18:40.261,temperature,13,cough,18.17,2021-02-10 22:18:44.719
1,95085,1005.11,2021-02-10 22:18:40.276,pressure,13,cough,25.48,2021-02-10 22:18:43.887
2,95084,1004.92,2021-02-10 22:18:40.315,pressure,13,cough,25.48,2021-02-10 22:18:43.887
3,94973,27.35,2021-02-10 22:18:40.316,temperature,13,cough,18.17,2021-02-10 22:18:44.719
4,95083,1004.85,2021-02-10 22:18:40.354,pressure,13,cough,25.48,2021-02-10 22:18:43.887
5,94972,27.32,2021-02-10 22:18:40.371,temperature,13,cough,18.17,2021-02-10 22:18:44.719
6,95082,1004.71,2021-02-10 22:18:40.394,pressure,13,cough,25.48,2021-02-10 22:18:43.887
7,94971,27.39,2021-02-10 22:18:40.426,temperature,13,cough,18.17,2021-02-10 22:18:44.719
8,95081,1004.55,2021-02-10 22:18:40.433,pressure,13,cough,25.48,2021-02-10 22:18:43.887
9,95080,1004.46,2021-02-10 22:18:40.472,pressure,13,cough,25.48,2021-02-10 22:18:43.887
10,94970,27.31,2021-02-10 22:18:40.482,temperature,13,cough,18.17,2021-02-10 22:18:44.719
11,95079,1004.32,2021-02-10 22:18:40.511,pressure,13,cough,25.48,2021-02-10 22:18:43.887
12,94969,27.31,2021-02-10 22:18:40.537,temperature,13,cough,18.17,2021-02-10 22:18:44.719
13,95078,1004.32,2021-02-10 22:18:40.551,pressure,13,cough,25.48,2021-02-10 22:18:43.887
14,95077,1004.32,2021-02-10 22:18:40.590,pressure,13,cough,25.48,2021-02-10 22:18:43.887
15,94968,27.28,2021-02-10 22:18:40.592,temperature,13,cough,18.17,2021-02-10 22:18:44.719
16,95076,1004.26,2021-02-10 22:18:40.629,pressure,13,cough,25.48,2021-02-10 22:18:43.887
17,94967,27.29,2021-02-10 22:18:40.647,temperature,13,cough,18.17,2021-02-10 22:18:44.719
18,95075,1004.21,2021-02-10 22:18:40.668,pressure,13,cough,25.48,2021-02-10 22:18:43.887
19,94966,27.28,2021-02-10 22:18:40.702,temperature,13,cough,18.17,2021-02-10 22:18:44.719
20,95074,1004.18,2021-02-10 22:18:40.708,pressure,13,cough,25.48,2021-02-10 22:18:43.887
21,95073,1004.19,2021-02-10 22:18:40.747,pressure,13,cough,25.48,2021-02-10 22:18:43.887
22,94965,27.36,2021-02-10 22:18:40.757,temperature,13,cough,18.17,2021-02-10 22:18:44.719
23,95072,1004.18,2021-02-10 22:18:40.786,pressure,13,cough,25.48,2021-02-10 22:18:43.887
24,94964,27.29,2021-02-10 22:18:40.812,temperature,13,cough,18.17,2021-02-10 22:18:44.719
25,95071,1004.2,2021-02-10 22:18:40.825,pressure,13,cough,25.48,2021-02-10 22:18:43.887
26,95070,1004.33,2021-02-10 22:18:40.865,pressure,13,cough,25.48,2021-02-10 22:18:43.887
27,94963,27.28,2021-02-10 22:18:40.867,temperature,13,cough,18.17,2021-02-10 22:18:44.719
28,95069,1004.43,2021-02-10 22:18:40.904,pressure,13,cough,25.48,2021-02-10 22:18:43.887
29,94962,27.28,2021-02-10 22:18:40.922,temperature,13,cough,18.17,2021-02-10 22:18:44.719
30,95068,1004.61,2021-02-10 22:18:40.943,pressure,13,cough,25.48,2021-02-10 22:18:43.887
