,id,value,date,type,event_id,event_type,frequency,start_time
0,92784,1005.56,2021-02-10 20:57:58.087,pressure,11,cough,25.48,2021-02-10 20:57:59.617
1,92662,27.36,2021-02-10 20:57:58.105,temperature,11,cough,18.16,2021-02-10 20:57:59.041
2,92783,1005.54,2021-02-10 20:57:58.126,pressure,11,cough,25.48,2021-02-10 20:57:59.617
3,92661,27.41,2021-02-10 20:57:58.160,temperature,11,cough,18.16,2021-02-10 20:57:59.041
4,92782,1005.4,2021-02-10 20:57:58.165,pressure,11,cough,25.48,2021-02-10 20:57:59.617
5,92781,1005.32,2021-02-10 20:57:58.204,pressure,11,cough,25.48,2021-02-10 20:57:59.617
6,92660,27.42,2021-02-10 20:57:58.215,temperature,11,cough,18.16,2021-02-10 20:57:59.041
7,92780,1005.46,2021-02-10 20:57:58.244,pressure,11,cough,25.48,2021-02-10 20:57:59.617
8,92659,27.42,2021-02-10 20:57:58.271,temperature,11,cough,18.16,2021-02-10 20:57:59.041
9,92779,1005.71,2021-02-10 20:57:58.283,pressure,11,cough,25.48,2021-02-10 20:57:59.617
10,92778,1005.86,2021-02-10 20:57:58.322,pressure,11,cough,25.48,2021-02-10 20:57:59.617
11,92658,27.5,2021-02-10 20:57:58.326,temperature,11,cough,18.16,2021-02-10 20:57:59.041
12,92777,1005.82,2021-02-10 20:57:58.361,pressure,11,cough,25.48,2021-02-10 20:57:59.617
13,92657,27.47,2021-02-10 20:57:58.381,temperature,11,cough,18.16,2021-02-10 20:57:59.041
14,92776,1005.83,2021-02-10 20:57:58.401,pressure,11,cough,25.48,2021-02-10 20:57:59.617
15,92656,27.51,2021-02-10 20:57:58.436,temperature,11,cough,18.16,2021-02-10 20:57:59.041
16,92775,1005.82,2021-02-10 20:57:58.440,pressure,11,cough,25.48,2021-02-10 20:57:59.617
17,92774,1005.77,2021-02-10 20:57:58.479,pressure,11,cough,25.48,2021-02-10 20:57:59.617
18,92655,27.54,2021-02-10 20:57:58.491,temperature,11,cough,18.16,2021-02-10 20:57:59.041
19,92773,1005.76,2021-02-10 20:57:58.518,pressure,11,cough,25.48,2021-02-10 20:57:59.617
20,92654,27.59,2021-02-10 20:57:58.546,temperature,11,cough,18.16,2021-02-10 20:57:59.041
21,92772,1007.87,2021-02-10 20:57:58.558,pressure,11,cough,25.48,2021-02-10 20:57:59.617
22,92771,1007.87,2021-02-10 20:57:58.597,pressure,11,cough,25.48,2021-02-10 20:57:59.617
23,92653,27.6,2021-02-10 20:57:58.601,temperature,11,cough,18.16,2021-02-10 20:57:59.041
24,92770,1007.38,2021-02-10 20:57:58.636,pressure,11,cough,25.48,2021-02-10 20:57:59.617
25,92652,27.64,2021-02-10 20:57:58.656,temperature,11,cough,18.16,2021-02-10 20:57:59.041
26,92769,1007.34,2021-02-10 20:57:58.675,pressure,11,cough,25.48,2021-02-10 20:57:59.617
27,92651,27.61,2021-02-10 20:57:58.711,temperature,11,cough,18.16,2021-02-10 20:57:59.041
28,92768,1007.24,2021-02-10 20:57:58.715,pressure,11,cough,25.48,2021-02-10 20:57:59.617
29,92767,1007.12,2021-02-10 20:57:58.754,pressure,11,cough,25.48,2021-02-10 20:57:59.617
30,92650,27.67,2021-02-10 20:57:58.766,temperature,11,cough,18.16,2021-02-10 20:57:59.041
