,id,value,date,type,event_id,event_type,frequency,start_time
0,62667,1006.73,2021-02-10 18:27:50.103,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
1,62568,24.34,2021-02-10 18:27:50.110,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
2,62666,1006.72,2021-02-10 18:27:50.142,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
3,62567,24.34,2021-02-10 18:27:50.165,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
4,62665,1006.7,2021-02-10 18:27:50.182,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
5,62566,24.34,2021-02-10 18:27:50.220,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
6,62664,1006.72,2021-02-10 18:27:50.221,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
7,62663,1006.73,2021-02-10 18:27:50.260,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
8,62565,24.34,2021-02-10 18:27:50.275,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
9,62662,1006.75,2021-02-10 18:27:50.300,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
10,62564,24.33,2021-02-10 18:27:50.330,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
11,62661,1006.7,2021-02-10 18:27:50.339,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
12,62660,1006.7,2021-02-10 18:27:50.378,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
13,62563,24.33,2021-02-10 18:27:50.385,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
14,62659,1006.7,2021-02-10 18:27:50.417,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
15,62562,24.35,2021-02-10 18:27:50.440,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
16,62658,1006.68,2021-02-10 18:27:50.457,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
17,62561,24.34,2021-02-10 18:27:50.495,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
18,62657,1006.71,2021-02-10 18:27:50.496,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
19,62656,1006.7,2021-02-10 18:27:50.535,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
20,62560,24.34,2021-02-10 18:27:50.550,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
21,62655,1006.7,2021-02-10 18:27:50.575,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
22,62559,24.33,2021-02-10 18:27:50.605,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
23,62654,1006.68,2021-02-10 18:27:50.614,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
24,62653,1006.72,2021-02-10 18:27:50.653,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
25,62558,24.32,2021-02-10 18:27:50.660,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
26,62652,1006.72,2021-02-10 18:27:50.693,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
27,62557,24.33,2021-02-10 18:27:50.715,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
28,62651,1006.7,2021-02-10 18:27:50.732,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
29,62556,24.31,2021-02-10 18:27:50.770,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
30,62650,1006.7,2021-02-10 18:27:50.771,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
31,62649,1006.69,2021-02-10 18:27:50.811,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
32,62555,24.34,2021-02-10 18:27:50.826,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
33,62648,1006.73,2021-02-10 18:27:50.850,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
34,62554,24.38,2021-02-10 18:27:50.881,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
35,62647,1006.72,2021-02-10 18:27:50.889,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
36,62646,1006.74,2021-02-10 18:27:50.928,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
37,62553,24.32,2021-02-10 18:27:50.936,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
38,62645,1006.71,2021-02-10 18:27:50.968,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
39,62552,24.3,2021-02-10 18:27:50.991,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
40,62644,1006.69,2021-02-10 18:27:51.007,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
41,62551,24.31,2021-02-10 18:27:51.046,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
42,62643,1006.69,2021-02-10 18:27:51.046,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
43,62642,1006.71,2021-02-10 18:27:51.086,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
44,62550,24.29,2021-02-10 18:27:51.101,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
45,62641,1006.7,2021-02-10 18:27:51.125,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
46,62549,24.36,2021-02-10 18:27:51.156,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
47,62640,1006.71,2021-02-10 18:27:51.164,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
48,62639,1006.71,2021-02-10 18:27:51.204,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
49,62548,24.33,2021-02-10 18:27:51.211,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
50,62638,1006.7,2021-02-10 18:27:51.243,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
51,62547,24.33,2021-02-10 18:27:51.266,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
52,62637,1006.71,2021-02-10 18:27:51.282,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
53,62546,24.34,2021-02-10 18:27:51.321,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
54,62636,1006.69,2021-02-10 18:27:51.322,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
55,62635,1006.71,2021-02-10 18:27:51.361,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
56,62545,24.35,2021-02-10 18:27:51.376,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
57,62634,1006.72,2021-02-10 18:27:51.400,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
58,62544,24.34,2021-02-10 18:27:51.431,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
59,62633,1006.7,2021-02-10 18:27:51.439,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
60,62632,1006.72,2021-02-10 18:27:51.479,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
61,62543,24.32,2021-02-10 18:27:51.486,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
62,62631,1006.73,2021-02-10 18:27:51.518,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
63,62542,24.36,2021-02-10 18:27:51.541,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
64,62630,1006.71,2021-02-10 18:27:51.557,pressure,8,mask_off,25.44,2021-02-10 18:27:53.484
65,62541,24.32,2021-02-10 18:27:51.596,temperature,8,mask_off,18.17,2021-02-10 18:27:54.898
