,id,value,date,type,event_id,event_type,frequency,start_time
0,129277,1007.73,2021-02-11 21:43:29.216,pressure,15,cough,25.48,2021-02-11 21:43:30.158
1,129184,27.85,2021-02-11 21:43:29.224,temperature,15,cough,18.18,2021-02-11 21:43:30.929
2,129276,1007.74,2021-02-11 21:43:29.255,pressure,15,cough,25.48,2021-02-11 21:43:30.158
3,129183,27.88,2021-02-11 21:43:29.279,temperature,15,cough,18.18,2021-02-11 21:43:30.929
4,129275,1007.74,2021-02-11 21:43:29.294,pressure,15,cough,25.48,2021-02-11 21:43:30.158
5,129274,1007.71,2021-02-11 21:43:29.333,pressure,15,cough,25.48,2021-02-11 21:43:30.158
6,129182,27.94,2021-02-11 21:43:29.334,temperature,15,cough,18.18,2021-02-11 21:43:30.929
7,129273,1007.7,2021-02-11 21:43:29.373,pressure,15,cough,25.48,2021-02-11 21:43:30.158
8,129181,27.9,2021-02-11 21:43:29.389,temperature,15,cough,18.18,2021-02-11 21:43:30.929
9,129272,1007.69,2021-02-11 21:43:29.412,pressure,15,cough,25.48,2021-02-11 21:43:30.158
10,129180,27.85,2021-02-11 21:43:29.444,temperature,15,cough,18.18,2021-02-11 21:43:30.929
11,129271,1007.65,2021-02-11 21:43:29.451,pressure,15,cough,25.48,2021-02-11 21:43:30.158
12,129270,1007.5,2021-02-11 21:43:29.490,pressure,15,cough,25.48,2021-02-11 21:43:30.158
13,129179,27.89,2021-02-11 21:43:29.499,temperature,15,cough,18.18,2021-02-11 21:43:30.929
14,129269,1007.36,2021-02-11 21:43:29.530,pressure,15,cough,25.48,2021-02-11 21:43:30.158
15,129178,27.9,2021-02-11 21:43:29.554,temperature,15,cough,18.18,2021-02-11 21:43:30.929
16,129268,1007.27,2021-02-11 21:43:29.569,pressure,15,cough,25.48,2021-02-11 21:43:30.158
17,129267,1007.22,2021-02-11 21:43:29.608,pressure,15,cough,25.48,2021-02-11 21:43:30.158
18,129177,27.9,2021-02-11 21:43:29.609,temperature,15,cough,18.18,2021-02-11 21:43:30.929
19,129266,1007.19,2021-02-11 21:43:29.647,pressure,15,cough,25.48,2021-02-11 21:43:30.158
20,129176,27.91,2021-02-11 21:43:29.664,temperature,15,cough,18.18,2021-02-11 21:43:30.929
21,129265,1007.14,2021-02-11 21:43:29.687,pressure,15,cough,25.48,2021-02-11 21:43:30.158
22,129175,27.88,2021-02-11 21:43:29.719,temperature,15,cough,18.18,2021-02-11 21:43:30.929
23,129264,1007.09,2021-02-11 21:43:29.726,pressure,15,cough,25.48,2021-02-11 21:43:30.158
24,129263,1007.06,2021-02-11 21:43:29.765,pressure,15,cough,25.48,2021-02-11 21:43:30.158
25,129174,27.9,2021-02-11 21:43:29.774,temperature,15,cough,18.18,2021-02-11 21:43:30.929
26,129262,1007.19,2021-02-11 21:43:29.804,pressure,15,cough,25.48,2021-02-11 21:43:30.158
27,129173,27.87,2021-02-11 21:43:29.829,temperature,15,cough,18.18,2021-02-11 21:43:30.929
28,129261,1007.24,2021-02-11 21:43:29.844,pressure,15,cough,25.48,2021-02-11 21:43:30.158
29,129260,1007.15,2021-02-11 21:43:29.883,pressure,15,cough,25.48,2021-02-11 21:43:30.158
30,129172,27.85,2021-02-11 21:43:29.884,temperature,15,cough,18.18,2021-02-11 21:43:30.929
